UserID,TimeSpentOnCourse,NumberOfVideosWatched,NumberOfQuizzesTaken,QuizScores,CompletionRate,DeviceType,CourseCompletion,EngagementScore,EngagementLevel,CourseCategory_Arts,CourseCategory_Business,CourseCategory_Health,CourseCategory_Programming,CourseCategory_Science
5618,29.97971934613741,17,3,50.365655948359226,20.860772712321182,1,0,25.2560462668125,1,0,0,1,0,0
4326,27.802639509751515,1,5,62.61596979322466,65.63241524373352,1,0,25.419266049722673,1,1,0,0,0,0
5849,86.82048469711872,14,2,78.4589624023972,63.81200658802416,1,1,42.94537596620053,0,1,0,0,0,0
4992,35.03842663461649,17,10,59.19885273381349,95.43316189339762,0,1,30.776572614375016,2,0,0,0,0,1
3866,92.4906469645332,16,0,98.42828500171674,18.102477525410755,0,0,49.856801954131,0,0,0,0,1,0
8650,79.46612884332329,12,7,70.2333289468058,76.48402324939777,0,1,40.09390187583993,2,0,0,1,0,0
4321,78.9087242374251,10,2,86.83653261494925,22.588896140963342,1,0,43.11453014722129,0,0,0,1,0,0
4589,12.06823675215978,16,3,61.55364646476677,27.410990874379625,1,0,25.158376554818794,1,0,1,0,0,0
4215,81.93570917985394,8,4,90.26456414855328,33.30843667864675,0,1,44.787796896939696,0,0,1,0,0,0
8089,83.39402571104472,15,10,63.956352955520536,33.26129953014595,1,0,40.44783051464421,0,0,0,0,1,0
5010,55.44885317072934,3,7,57.50783648915665,80.63469702926727,0,0,29.883144517478275,1,0,0,0,0,1
8791,27.265330641921476,17,9,70.99850119498619,0.1283363229380274,0,0,32.63730987404172,2,1,0,0,0,0
4101,12.262483785584529,13,1,68.54184823678045,48.91869023749844,1,0,26.039801552439354,1,1,0,0,0,0
3039,33.79016764768902,1,5,97.70588953857865,77.31223562370481,0,1,37.02399703815762,2,0,0,0,1,0
3379,40.787972087640696,7,3,72.02018992210475,87.47619949726861,1,1,31.397891952406752,2,0,0,0,0,1
5700,37.74623794822219,10,8,93.30974857144088,95.8903217174662,0,1,39.327247402112256,2,0,0,0,0,1
7567,36.36982127760847,8,10,71.74027659522311,43.54888955385587,1,1,32.70865080853646,2,0,0,0,1,0
8772,26.67976913466473,15,8,64.15505767450269,21.184777691520363,1,0,29.73887574659046,1,0,0,1,0,0
6817,11.17804761184954,20,5,78.02583213062266,55.69746684173562,0,0,31.419798209319715,2,0,1,0,0,0
2866,56.70844279087808,6,8,81.38063449593083,49.176911118789945,0,1,38.241710051137304,2,0,0,1,0,0
3134,90.89545275723644,11,9,82.80335560655193,76.06002032466282,1,1,46.25218817826814,0,0,0,0,0,1
2716,19.220062447323222,6,4,70.24297667055698,69.88922262914392,1,1,27.032504241685274,1,0,0,0,0,1
3153,24.988750032357324,6,9,64.48616706067624,7.433288004684602,1,0,27.74382512402719,1,1,0,0,0,0
6584,33.48224410834035,3,9,59.8758706754866,78.58320720339476,0,0,27.199565142147243,1,0,1,0,0,0
230,57.668364870808745,0,5,92.00831477467004,35.024928003816655,0,0,39.38280010914659,2,0,0,0,0,1
8813,33.8079156819551,12,1,53.6597605659185,89.9525527538609,0,1,25.223352992527467,1,0,0,0,1,0
3103,48.54343463363164,3,7,50.46763175521277,50.99683171875333,0,0,26.528107760617523,1,0,0,0,1,0
1274,56.94215602063267,7,6,80.37425848450256,61.12697845853356,0,1,37.651865629064645,2,0,0,0,0,1
2398,40.81348180255279,15,0,55.02883721210786,56.94624076543875,0,0,27.30507788809186,1,0,0,0,1,0
8529,12.805246220606858,6,9,51.85830564221426,86.30231756665131,0,0,21.762436012373513,1,0,0,0,1,0
7858,64.89874148516614,13,6,97.3401987109964,68.02150504513817,1,1,45.55383308062883,0,1,0,0,0,0
7050,44.70916758562794,5,8,76.9412180222065,17.541934124071844,0,0,34.52001557207498,2,0,0,0,1,0
1676,44.463895154064346,16,10,51.70151786760175,53.400707703532966,0,0,29.993956488012106,1,1,0,0,0,0
4931,79.92671792725722,18,3,82.8515882752971,69.03969779917355,1,1,44.222285709495424,0,0,1,0,0,0
1847,66.23533659953954,3,4,54.642636585229226,59.146139308126656,1,0,30.125151563485883,1,0,0,0,1,0
6083,27.30889124247948,17,3,90.02120477161247,7.434988155754207,0,0,36.67196185513005,2,0,0,1,0,0
2263,30.33845961117749,11,10,85.91852407206679,94.5492986171422,0,1,36.56647995163198,2,0,0,1,0,0
8788,55.99522788037752,19,7,89.28612560657936,12.969146318848887,0,0,43.19497870044176,0,1,0,0,0,0
4546,26.021524206096856,7,8,81.67770398732854,33.32047026777094,0,1,33.037185553296,2,1,0,0,0,0
6675,46.16776436128021,20,5,57.51320694226913,67.48314094068168,0,1,31.564159667711174,2,1,0,0,0,0
4345,14.964920149737411,9,6,96.20605086239355,35.90245247288345,0,0,35.305500885670796,2,1,0,0,0,0
